FileName,X1,Y1,X2,Y2,Frame
0X1A2C60147AF9FDAE.avi,47.06770833,24.09895833,57.45833333,73.31770833,46
0X1A2C60147AF9FDAE.avi,45.75598593,25.74964776,48.46902586,25.17689489,46
0X1A2C60147AF9FDAE.avi,45.48894635,28.55356329,51.05579427,27.37833984,46
0X1A2C60147AF9FDAE.avi,45.27934345,31.3453533,53.47050498,29.61610809,46
0X1A2C60147AF9FDAE.avi,45.08705834,34.13348734,55.62075408,31.90970713,46
0X1A2C60147AF9FDAE.avi,45.0625,36.88621238,57.43374363,34.2745054,46
0X1A2C60147AF9FDAE.avi,45.0625,39.63375289,59.18490291,36.65235672,46
0X1A2C60147AF9FDAE.avi,45.24001102,42.34381885,60.52880859,39.11618381,46
0X1A2C60147AF9FDAE.avi,45.66525374,45.0015859,61.87271428,41.5800109,46
0X1A2C60147AF9FDAE.avi,46.04205504,47.66957947,63.19449267,44.0485093,46
0X1A2C60147AF9FDAE.avi,46.39836433,50.34189913,64.50284529,46.51984204,46
0X1A2C60147AF9FDAE.avi,46.37410173,53.09456174,65.81430842,48.99051811,46
0X1A2C60147AF9FDAE.avi,46.13101241,55.89342111,67.14983912,51.45611325,46
0X1A2C60147AF9FDAE.avi,45.14583852,58.84894277,68.35217378,53.94982755,46
0X1A2C60147AF9FDAE.avi,44.3309447,61.76851642,69.29598541,56.49811894,46
0X1A2C60147AF9FDAE.avi,43.81837422,64.62426625,70.03084568,59.09052228,46
0X1A2C60147AF9FDAE.avi,43.30580374,67.48001609,70.463259,61.74677553,46
0X1A2C60147AF9FDAE.avi,43.6659834,70.15151867,70.89567232,64.40302878,46
0X1A2C60147AF9FDAE.avi,44.25072907,72.77561287,71.06667237,67.11446928,46
0X1A2C60147AF9FDAE.avi,54.85668744,73.28411772,70.92782978,69.891321,46
0X1A2C60147AF9FDAE.avi,65.46264581,73.79262257,70.7889872,72.66817273,46
0X1A2C60147AF9FDAE.avi,47.43229167,25.01041667,55.453125,65.84375,62
0X1A2C60147AF9FDAE.avi,46.52083333,26.28995768,49.50964858,25.70286897,62
0X1A2C60147AF9FDAE.avi,46.52083333,28.4909668,51.6058057,27.49213294,62
0X1A2C60147AF9FDAE.avi,46.52083333,30.69197591,52.86210082,29.4463698,62
0X1A2C60147AF9FDAE.avi,46.48059173,32.90088963,54.08620878,31.40692913,62
0X1A2C60147AF9FDAE.avi,46.4134951,35.11507844,55.01535846,33.42542671,62
0X1A2C60147AF9FDAE.avi,46.34639847,37.32926725,55.94450813,35.44392428,62
0X1A2C60147AF9FDAE.avi,46.60857533,39.47877733,56.87365781,37.46242185,62
0X1A2C60147AF9FDAE.avi,46.91442275,41.61970928,57.80280748,39.48091942,62
0X1A2C60147AF9FDAE.avi,47.14504471,43.77541765,58.73195716,41.49941699,62
0X1A2C60147AF9FDAE.avi,47.30008435,45.94597255,59.61824736,43.52633339,62
0X1A2C60147AF9FDAE.avi,47.42578335,48.12229079,60.44256053,45.56542384,62
0X1A2C60147AF9FDAE.avi,47.38158955,50.33198083,61.26687369,47.6045143,62
0X1A2C60147AF9FDAE.avi,47.33739575,52.54167087,62.09118685,49.64360476,62
0X1A2C60147AF9FDAE.avi,47.29320195,54.75136091,62.84616335,51.69631492,62
0X1A2C60147AF9FDAE.avi,47.25,56.96085612,63.33566498,53.80117193,62
0X1A2C60147AF9FDAE.avi,47.25,59.16186523,63.82516661,55.90602894,62
0X1A2C60147AF9FDAE.avi,47.25,61.36287435,64.31466824,58.01088594,62
0X1A2C60147AF9FDAE.avi,47.25,63.56388346,64.42011038,60.19118321,62
0X1A2C60147AF9FDAE.avi,47.25,65.76489258,64.11456623,62.45220993,62
0X1A2C60147AF9FDAE.avi,58.05368134,65.84375,63.80902208,64.71323664,62
